"","X2012","X2013","X2014"
" Argentina","42,095","42,538","42,980"
" Australia","22,911","23,270","23,622"
" Austria","8,408","8,452","8,507"
" Belgium","11,095","11,162","11,181"
" Belarus","9,465","9,464","9,468"
" Brazil","202,402","204,259","206,078"
" Bulgaria","7,327","7,285","7,246"
" Chile","17,388","17,576","17,763"
" China","1,355,387","1,362,514","1,369,436"
" Croatia","4,276","4,262","4,247"
" Cyprus","862","866","858"
" Czech Republic","10,505","10,516","10,512"
" Denmark","5,581","5,603","5,627"
" Egypt","85,661","87,614","89,580"
" Estonia","1,325","1,320","1,316"
" Finland","5,401","5,427","5,451"
" France","65,277","65,600","65,942"
" Greece","11,086","11,004","10,927"
" Spain","46,818","46,728","46,512"
" Netherlands","16,730","16,780","16,829"
" India","1,263,590","1,279,499","1,295,292"
" Indonesia","248,038","251,268","254,455"
" Ireland","4,583","4,591","4,606"
" Iceland","320","322","326"
" Israel ","7,695","7,818","7,939"
" Japan","127,140","126,985","126,795"
" Canada","34,868","35,231","35,588"
" South Korea","49,608","49,847","50,074"
" Lithuania","3,004","2,972","2,943"
" Luxembourg","525","537","550"
" Latvia","2,045","2,024","2,001"
" Malta","418","421","425"
" Mexico","122,071","123,740","125,386"
" Germany","80,328","80,524","80,767"
" Nigeria","168,240","172,817","177,476"
" Norway","4,986","5,051","5,108"
" New Zealand","4,436","4,465","4,495"
" P o l a n d","38,538","38,533","38,496"
" South Africa","52,837","53,417","53,969"
" Portugal","10,542","10,487","10,427"
" Russia","143,056",".","143,667"
" Romania","20,096","20,020","19,947"
" Slovakia","5,404","5,411","5,416"
" Slovenia","2,055","2,059","2,061"
" United States","314,799","317,136","319,449"
" Switzerland","7,955","8,039","8,140"
" Sweden","9,483","9,556","9,645"
" Turkey","74,724","75,627","76,668"
" Ukraine","45,453","45,373","45,246"
" Hungary","9,932","9,909","9,877"
" United Kingdom","63,495","63,905","64,351"
" Italy","59,394","59,685","60,783"
